Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	LF	healer	cougar	knuckle	malice	vector	131	52	198	277	340	750	2	cougar	52	1141.88383208911	787.423611596203	1155.20430144269	278.735409869737	716.393202250021	905.422606518061	442.981539343471	476.252262637941	703.191942669732	149.122951685637
1		TestProc	HF	hunting	night	piece	mistake	tiger	245	177	101	319	32	750	3	piece	101	477.47688518534	694.04730469628	860.934382497177	924.45181390183	1232.65087337907	601.323598150618	577.576388403797	223.116167910891	1051.96770569328	185.78076153743
1		TestProc	LF	varsity	pollen	quarry	geezer	ripple	297	207	12	140	76	1000	2	pollen	207	483.597390324653	343.403800104181	658.403800104182	881.402609675347	923.164676327104	133.740959706478	1097.11504387462	831.417777247591	1228.1182905104	428.231241760133
1		TestProc	HF	stuff	chopper	station	package	ballet	236	162	304	91	16	500	3	station	304	508.384970977983	748.677161388299	963.606797749979	905.422606518061	508.384970977983	301.322838611702	1239.93907806256	531.980962574913	950.2549423268	140.495321624672
1		TestProc	HF	leather	warrior	council	thief	dollar	48	266	204	339	119	1000	4	thief	339	1137.25793019096	257.347757456457	440.97437989607	552.90258949765	677.30534276968	890.41818305704	696.65282018188	151.567829401119	1189.84788285576	718.923848098535
1		TestProc	LF	snowman	pellet	fatigue	tycoon	apostle	348	216	141	69	286	500	2	pellet	216	756.835323672896	133.740959706478	604.885899083011	848.606797749979	1091.72815641994	835.858384582788	1213.43217059888	381.65282018188	455.495321624672	414.7450576732
1		TestProc	LF	scorn	sewage	latex	eyebrow	armada	49	348	269	184	120	500	5	armada	120	1141.88383208911	262.576388403797	756.835323672896	133.740959706478	440.060921937443	531.980962574913	812.09741050235	924.02562010393	1186.41016151378	725
1		TestProc	LF	shawl	bearer	pottery	equity	iodine	194	256	50	115	335	500	4	equity	115	743.231241760133	913.118290510399	451.881709489601	621.768758239867	1146.41777724759	267.884956125384	1202.52311481466	694.04730469628	670.95269530372	162.47688518534
1		TestProc	HF	justice	fellow	group	charge	guide	157	7	85	236	305	750	4	charge	236	996.29245139571	893.201941380976	888.747737362059	127.981539343471	1238.4778792367	490.137702900937	508.384970977983	748.677161388299	512.339182284403	295.569425459582
1		TestProc	HF	banana	shower	present	bunch	bridge	147	4	297	83	224	750	5	bridge	224	1057.85561400601	860.46822717817	867.90258949765	125.97437989607	483.597390324653	343.403800104181	1237.01846065653	476.252262637941	562.136651816401	812.73592013546
1		TestProc	HF	airport	statue	piano	purpose	buster	72	148	3	229	294	750	2	statue	148	1220.42260651806	401.393202250021	1051.96770569328	864.21923846257	860.934382497178	125.54818609817	538.116167910891	787.423611596203	474.58181694296	362.30534276968
1		TestProc	LF	gateway	sesame	mound	crutch	homage	187	40	112	322	258	1000	3	mound	112	791.252262637941	922.018460656529	1097.11504387462	218.582222752409	1210.87354182671	674.842637366365	593.735409869736	209.795698557311	448.740959706478	608.164676327104
1		TestProc	LF	dioxide	iceberg	finder	phobia	glucose	281	133	352	65	196	750	4	phobia	65	447.349126620934	448.676401849382	1132.54148064767	797.799344024999	784.330759615974	128.892772503372	1202.52311481466	355.95269530372	729.7450576732	909.504678375328
1		TestProc	HF	history	goose	therapy	month	divorce	358	276	214	144	64	1000	1	history	358	826.040201319	125.243669192362	442.191241852691	483.188614692939	616.322838611701	856.615029022017	1075.11410091699	848.606797749979	1199.51761851967	349.651541284369
